filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-17__20-03-46(5).JPG,4599039.0,aa4c50f4a292a76db63eaad18e91ddd0cfc8da43554b34580823cc17e1d6cd75,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-20(1).JPG,237652.0,dd73d496147f5cd5c61fce6821450db09896ad3eceb9701c62d3ea69708d5a28,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-20(2).JPG,235861.0,2d2874e20dc7f2a26cb0b8dba30d32e23f7fe43fcd0974dceef0e94051de122a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-21(3).JPG,236743.0,d3d50ba06bd1f28b3df34991fdaf7f4a5a7efd149fe1728ed05c6b76e5f48373,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-22(4).JPG,237368.0,3096c97ad4b22997ca5e9f1842255e8b9ba6be6fedb59bc75f8efb514a038a91,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-22(5).JPG,237369.0,a99cdfe665c4ce6799f075f35331cc8992600e10d76bb70a880355038a3bcf2a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-19__23-09-23(6).JPG,225430.0,8d956679f7c4d7de8f4694ef459c86f9bab4e190a6b289be6b2b9f83ff29454a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-51-41(1).JPG,3083074.0,a17a60f023e52598e35a35d40cefa9e0ad80c99106e8e3dacd37176005425228,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-51-41(2).JPG,3086621.0,d7c8281f6b2998769ecb18e1f0fe445b418c9c82e6cd6e4a13640043e0975272,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-51-42(3).JPG,3088024.0,e2b3d7e10aafca6dd1d124978d61811812c3061a0f467e41b4de0b0b85b4329f,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-51-42(4).JPG,3085953.0,6bd87b0daac58e6c3cdc8f6bf00321db822c26ae7243f64a6a9fa1cc06623b7d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-51-43(5).JPG,3086979.0,c7601a0f588e9397295ff3834754e3cfb6c99f60d4f7fd212a67a7ffea256185,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-52-26(1).JPG,3060532.0,b16c971abfdbcfb211a86c5becc54efcb80d21b250d0ea748eca53830bff91de,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-52-27(2).JPG,3048331.0,9e6a58ea6e106f57e1d877726ccad4bdbef7db37b74f10d62631077eb5e6c89b,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-52-27(3).JPG,3042430.0,250acad0714adf549ecf7ed3d4d659fc24cf253c9249d97da36a5cf8519ed625,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-25__23-52-28(4).JPG,3043684.0,04c9bf95d9ba5b6e137a6780aaec04fd6da575b316c1c70fe2880ae41085cc12,wolf
